компания Pemex	Пожар будет продолжаться до тех пор, пока газ остается в секции трубопровода
Гидрометцентр при ГСЧС Украины	12 августа на западе Украины и в Крыму ожидаются дожди с грозами, температура днем от +31 до +37.
 глава российского МИД Сергей Лавров	Предложение Великобритании и Франции об отказе от права вето постоянными членами Совбеза ООН в том случае, когда речь идет о расследовании обстоятельств массовых преступлений, бесперспективно.
Лавров	в случае ее принятия возникнет множество дополнительных вопросов. Так, не ясно, кто и как будет определять, можно ли считать какую-либо катастрофу массовой, критерий массовости также не указан.
Сергей Лавров	право вето закреплено в Уставе ООН, и до недавнего время все без исключения государства относились к этому положению с уважением
Лавров	обеспокоенность в отношении того, что ООН из авторитетной организации постепенно превращается в инструмент пропаганды.
главный тренер Луис Энрике	Я переживал более сумасшедшие матчи, чем этот, но не в финале. С «Атлетико» в Кубке Испании. Но финал важнее. Футбол часто удивляет. Мы уступали по сути после первого же действия в игре, но сразу сравняли счет. Трудно выигрывать матчи и завоевывать трофеи. Мы очень рады
Эмери	Хочу поздравить Лионеля Месси. Благодаря его способности играть на самом высоком уровне и стабильности «Барселоны» в целом они и завоевывают все эти титулы. Кроме того, за всеми успехами Месси кроется огромная командная работа. Каждый выполняет свою роль и помогает Месси делать результат. Сможем ли мы остановить его в следующий раз? Постараемся!
специалисты	в этом году максимума активности звездопад должен достичь 13 августа в последние часы перед рассветом
СМИ	Денисенко предлагали помощь в сборе подписей как в начале выборной кампании, так и после обнаружения недействительных автографов
политологи	выдвиженец КПРФ понимал, что выборы ему не выиграть, а доведя дело до суда, он получит скандал, который в дальнейшем можно использовать для избрания в Госдуму.
Назаров	готов оказать поддержку в сборе подписей для прохождения муниципального фильтра всем нуждающимся в этом кандидатам.
Директор консалтингового агентства «Город» Мария Минчева	в других регионах кандидатам от КПРФ помогали со сбором подписей: «Кандидат в губернаторы Иркутской области от КПРФ Сергей Левченко долго утверждал, что он собрал все подписи, но при этом за три дня до сдачи он пришел в исполком «Единой России», где ему помогли собрать подписи. Все они прошли проверку. Можно предположить, что в Омской области у коммунистов случился организационный провал. То есть не очень качественно собрали подписи, и, возможно, не набрали достаточного количества ресурсов, чтобы полноценно участвовать в избирательной кампании
Минчева	Назаров был заинтересован в участии представителей различных партий в выборах губернатора: «Я уверена, что действующий губернатор был заинтересован в легитимных и конкурентных выборах, в участии всех парламентских партий. И думаю, что Денисенко ему как кандидата-конкурента будет не хватать»
Источники Газеты.Ru	осле обнаружения «сдвоенных подписей» лидер КПРФ Геннадий Зюганов позвонил первому вице-губернатору Омской области, чтобы высказать свое возмущение ситуацией, и был удивлен, узнав, что Денисенко сам отверг помощь.
Дмитрий Журавлёв	«Он был не уверен в своих силах и понимал, что если пойдет на компромисс с действующей властью, то губернатором он все равно не станет, а белые одежды борца с эксплуататорами потеряет. Главный капитал политика – его имя. Поэтому его задача – из любой политической передряги выходить более известным человеком, чем он в эту ситуацию входил. Поэтому, скорее всего, он рассчитывал на парламентские выборы, на усиление своей узнаваемости. В то, что Денисенко мог выиграть выборы губернатора, я не верю. Потому что «красный пояс» уже исчез даже в местах куда более «красных», а Омская область особо «красной» никогда и не была».
Минчева	«Рейтинг на фоне скандала недолговечен. Денисенко же нужен долгосрочный рейтинг с целью подготовки к выборам в Госдуме. А маленький скандал из-за того, что он не прошел фильтр, забудется через три–четыре месяца. Более того, насколько я вижу, население не до конца понимает смысла и технологии муниципального фильтра и поэтому сложно будет объяснить, в чем дело»
Эксперты	чересчур агрессивной кампании, которую вели коммунисты, заключавшуюся в провокациях и давлении на членов КПРФ, подписавшихся за Назарова.
директор Международного института политической экспертизы Евгений Минченко	Денисенко вел жесткую кампанию, за что и поплатился. Не то чтобы его не допустили к выборам, просто ему не стали помогать, и оказалось, что у самих коммунистов не так много ресурсов
