глава Нацкомиссии по ценным бумагам и фондовому рынку Украины Тимур Хромаев	в настоящее время у регулятора очень ограниченный инструментарий сдерживания такого поведения
Он	А именно, у нас нет доступа к банковской тайне, персональным данным, мы не можем проводить расследования с целью получения необходимой информации. Далее: у нас нет права обмена данной информацией с другими регуляторами
Т.Хромаев	взаимодействие с международными регуляторами предусмотрено меморандумом ИОСКО, который Нацкомиссия надеется подписать после принятия соответствующих законов
Он	Все указанные полномочия предусмотрены проектами законов, которые, как мы надеемся, будут направлены в Верховную Раду в сентябре
глава НБУ Валерия Гонтарева	Национальный банк Украины до конца года намерен нарастить объем международных резервов минимум до уровня $15 млрд, чтобы выполнить принятый в мире показатель достаточности резервов по покрытию трех месяцев импорта
она	До конца года планируем нарастить валютные резервы до $18 млрд. Это, конечно, амбициозные планы, задача-минимум для нас - $15 млрд, которые покрывают три месяца импорта
глава НБУ	она завершена. Сейчас Нацбанк переходит ко второму этапу - ее перезапуску, одновременно добиваясь раскрытия полной структуры их конечных собственников
В.Гонтарева	"Мы рассматриваем 44 банка как ""непрозрачные"". По ходу анализа эта цифра может увеличиться. Из этих 44 банков два уже признаны проблемными, 14 получили от нас письмо-уведомление, что их структуры собственности официально признаны непрозрачными"
В.Гонтарева	"международные резервы Украины к концу 2015 года составят ""почти $18 млрд""."
 Интерфакс-Украина	об этом сообщил министр энергетики и угольной промышленности Владимир Демчишин
он	Это шла речь о вывозе через Россию. Есть такой вопрос. Был проголосован позитивно
В.Демчишин	речь идет о вывозе угля для всех украинских станций, которые в нем нуждаются.
Он	есть три маршрута вывоза угля протяженностью от 10 до 300 км.
