МЧС	машина на огромной скорости сбила заградительные бордюры и рухнула в реку на глубину шесть метров
Руководители шахты и сотрудники экстренных служб	это могло произойти из-за несоблюдения техники безопасности
и. о. руководителя Управления ФССП России по Хабаровскому краю - главного судебного пристава Хабаровского края А.А. Касьяненко	с начала года в службе судебных приставов находилось 35,2 тыс. исполнительных документов о взыскании недоимки по страховым взносам, пеней и штрафов на сумму 2116,9 млн рублей.
И.П. Сумцова	акция «Должник» показала свою эффективность и благоприятно отразилась на поступлениях в бюджет Пенсионного фонда. Так в июне 2015 года поступления по страховым взносам от самозанятого населения составили 50,2 млн. руб., что в 2 раза больше чем в мае текущего года.
Вице-спикер краевого парламента, председатель конкурсной комиссии Сергей Луговской 	средства массовой информации представили на конкурс интересные материалы, которые позволили судить обо всей работе, которая проводилась в районах во время подготовки и проведения мероприятий к 70-летию Победы
Сергей Луговской	Мы увидели, что редакции в течение всего года ведут систематическую и плановую работу. Порадовали районки, они показали полную картину жизни по подготовке к этой большой дате. Есть материалы об акциях Молодежной общественной палаты, о взаимодействии молодежных объединений с ветеранскими организациями. Большое количество материалов посвящено патриотическому воспитанию подрастающего поколения. Много воспоминаний ветеранов, которые читались на одном дыхании, потому что интересно написаны
Татьяна Мовчан	Хотелось бы увидеть среди конкурсных материалов больше хабаровских редакций, к сожалению, не представили свои работы средства массовой информации Комсомольска-на-Амуре. А те редакции, которые участвовали, продемонстрировали яркие, разнообразные по жанру работы, интересен был их стиль подачи
Губернатор	ВВС РФ остаются важнейшей составной частью вооруженных сил страны
Вячеслав Шпорт	Путь, который наша авиация прошла от фанерных поршневых самолетов военной поры до современных многоцелевых всепогодных сверхзвуковых ракетоносцев, вмещает титанический труд выдающихся отечественных авиаконструкторов и бесстрашие летчиков-испытателей. Вполне закономерно, что именно представители крылатой профессии стали первыми Героями Советского Союза
Губернатор	При этом активно развивается авиационная промышленность. Разрабатывая и осваивая самые передовые технологии, она является локомотивом конструкторской мысли и научно-технического прогресса
Глава края	флагманом отечественного самолетостроения был и остается Комсомольский-на-Амуре авиационный завод – крупнейшее и технически самое современное авиастроительное предприятие России.
Вячеслав Шпорт	Дорогие ветераны, авиаконструкторы, рабочие и служащие авиационной промышленности, солдаты и курсанты, офицеры и генералы, сердечно поздравляю вас с профессиональным праздником! Спасибо за труд, за самоотверженную службу Отечеству. Низкий поклон вашим семьям, которые разделяют трудности и радости, каждый взлет и посадку и служат вам надежной опорой
